country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Jamaica,7290,7580,7660,8300,8330,8450,8360,8180,7920,7930,7930,7980,8080,8320,8380,8410,8610,8680,8570,8150,8000,8100,8020,8030,8050,8100,8180,8190
Japan,30600,31500,31700,31500,31700,32400,33300,33600,33200,33000,33900,33900,33900,34300,35100,35700,36100,36700,36300,34300,35700,35800,36400,37100,37300,37900,38300,39000
Jordan,6280,6070,6810,6750,6750,6900,6830,6880,6950,7060,7230,7480,7780,7940,8400,8800,9160,9490,9710,9750,9470,9210,8960,8760,8620,8490,8390,8340
Kazakhstan,13100,11500,10900,10000,8870,8280,8450,8730,8720,9040,9950,11300,12400,13500,14700,16000,17500,18900,19300,19000,20100,21300,22000,23000,23600,23500,23400,24100
Kenya,2380,2340,2250,2180,2170,2200,2230,2180,2190,2180,2130,2150,2110,2110,2160,2220,2300,2390,2340,2350,2480,2560,2600,2680,2750,2840,2930,2990
Kiribati,1960,1930,1920,1910,1920,1890,1890,1900,1990,1920,2010,1940,1980,1990,1920,1980,1900,1910,1830,1800,1730,1710,1760,1830,1820,1970,1960,1980
Kuwait,,,,,,81000,80500,78400,75900,70000,69900,68500,69400,80500,87600,93500,96200,96900,93700,81900,75200,77500,77600,74100,70800,68500,68900,65500
Kyrgyz Republic,3470,3150,2680,2270,1810,1700,1790,1940,1950,1990,2070,2160,2140,2270,2400,2370,2420,2600,2790,2840,2790,2920,2870,3120,3180,3240,3310,3390
Lao,1710,1730,1780,1830,1940,2020,2120,2220,2260,2390,2490,2590,2700,2820,2950,3110,3330,3520,3730,3950,4220,4500,4790,5120,5440,5760,6070,6400
Latvia,,,,,,8280,8580,9440,10100,10500,11200,12100,13100,14300,15700,17500,19800,21900,21400,18600,18300,19800,20800,21600,22200,23000,23700,25100
Lebanon,7860,10700,10900,11300,11900,12400,12900,12500,12900,12700,12500,12500,12400,12100,12300,12300,12200,13300,14600,15800,16500,15700,15100,14400,13800,13400,13300,13400
Lesotho,1380,1450,1520,1540,1600,1630,1690,1730,1740,1730,1780,1830,1830,1890,1910,1960,2030,2110,2230,2250,2370,2500,2620,2630,2680,2710,2740,2850
Liberia,875,764,505,342,266,247,263,503,606,688,839,832,844,579,583,598,624,657,675,683,700,734,772,819,805,785,754,753
Libya,,,,,,,,,,21500,21900,21200,20700,23000,23600,26000,27300,28600,29000,28400,29600,11200,25000,21600,16400,14800,14300,17900
Lithuania,,,,,,9360,9910,10800,11700,11700,12200,13100,14100,15700,16900,18500,20200,22700,23600,20300,21100,22900,24000,25100,26300,27000,28000,29500
Luxembourg,57600,61800,62100,63800,65300,65400,65400,68200,71500,76500,81700,82800,85000,85400,87200,88600,91700,97900,94900,89100,91700,92000,89500,90700,93700,94100,94900,94300
"Macedonia, FYR",9630,9050,8480,7860,7730,7640,7710,7780,7990,8290,8620,8320,8420,8590,8980,9390,9850,10500,11000,11000,11400,11600,11500,11900,12300,12800,13100,13100
Madagascar,1650,1500,1480,1460,1420,1400,1390,1390,1400,1420,1440,1480,1260,1340,1370,1390,1420,1460,1520,1420,1390,1370,1370,1360,1370,1380,1400,1420
Malawi,744,792,727,796,711,821,863,873,879,878,866,800,792,816,837,840,854,908,948,996,1030,1050,1040,1060,1090,1090,1080,1100
Malaysia,10600,11300,11900,12800,13600,14600,15700,16400,14800,15300,16300,16000,16600,17200,18000,18600,19300,20100,20700,20000,21100,21800,22600,23200,24200,25000,25700,26800
